Olympics(up to 2016),Medal events(in 2016),,,,Total

 Archery,1900–1908; 1920; since 1972,16,4,58,57,48,163, Hubert van Innis (BEL) (6–3–0), Hubert van Innis (BEL) (6–3–0)
 Artistic swimming,Since 1984,9,2,14,12,13,39, Anastasia Davydova (RUS) (5–0–0) Miya Tachibana (JPN) (0–4–1) Miho Takeda (JPN) (0–4–1), Anastasia Davydova (RUS) (5–0–0)
" Athletics(men, women)",Since 1896,28,47,886,891,885,2662, Paavo Nurmi (FIN) (9–3–0), Paavo Nurmi (FIN) (9–3–0) Carl Lewis (USA) (9–1–0)
 Badminton,Since 1992,7,5,24,24,28,76, Gao Ling (CHN) (2–1–1), Gao Ling (CHN) (2–1–1) Kim Dong-moon (KOR) (2–0–1) Zhang Nan (CHN) (2–0–1) Zhao Yunlei (CHN) (2–0–1) Ge Fei (CHN) (2–0–0) Gu Jun (CHN) (2–0–0) Lin Dan (CHN) (2–0–0) Zhang Jun (CHN) (2–0–0) Zhang Ning (CHN) (2–0–0)
 Baseball,1992–2008; 2020; 2028,5,1,5,5,5,15, Pedro Luis Lazo (CUB) (2–2–0), Pedro Luis Lazo (CUB) (2–2–0)
 Basketball,Since 1936,19,2,26,26,26,78, Teresa Edwards (USA) (4–0–1), Teresa Edwards (USA) (4–0–1) Sue Bird (USA) (4–0–0) Tamika Catchings (USA) (4–0–0) Lisa Leslie (USA) (4–0–0) Diana Taurasi (USA) (4–0–0)
 Boxing,1904; 1908;since 1920,25,13,226,226,389,841, László Papp (HUN) (3–0–0) Félix Savón (CUB) (3–0–0) Teófilo Stevenson (CUB) (3–0–0) Boris Lagutin (URS) (2–0–1) Oleg Saitov (RUS) (2–0–1) Zou Shiming (CHN) (2–0–1) Roberto Cammarelle (ITA) (1–1–1) Zbigniew Pietrzykowski (POL) (0–1–2) Arnold Vanderlyde (NED) (0–0–3), László Papp (HUN) (3–0–0) Félix Savón (CUB) (3–0–0) Teófilo Stevenson (CUB) (3–0–0)
" Canoeing and Kayaking(men, women)",Since 1936,19,16,194,194,194,582, Birgit Fischer (GER) (8–4–0), Birgit Fischer (GER) (8–4–0)
" Cycling(men, women)",Since 1896,28,18,206,206,202,614, Bradley Wiggins (GBR) (5–1–2), Chris Hoy (GBR) (6–1–0) Jason Kenny (GBR) (6–1–0)
 Diving,Since 1904,26,8,106,106,108,320, Dmitri Sautin (RUS) (2–2–4), Wu Minxia (CHN) (5–1–1) Chen Ruolin (CHN) (5–0–0)
 Equestrian,1900;since 1912,25,6,135,133,133,401, Isabell Werth (FRG) (6–4–0), Isabell Werth (FRG) (6–4–0) Reiner Klimke (FRG) (6–0–2)
" Fencing(men, women)",Since 1896,28,10,191,191,190,572, Edoardo Mangiarotti (ITA) (6–5–2), Aladár Gerevich (HUN) (7–1–2)
 Field hockey,1908; 1920;since 1928,23,2,29,29,28,86, Leslie Claudius (IND) (3–1–0) Udham Singh (IND)  (3–1–0)  Teun de Nooijer (NED) (2–2–0)  Luciana Aymar (ARG) (0–2–2)," Leslie Claudius (IND) (3–1–0) Udham Singh (IND) (3–1–0) Richard Allen (IND) (3–0–0) Dhyan Chand (IND) (3–0–0) Ranganandhan Francis (IND) (3–0–0) Randhir Singh Gentle (IND) (3–0–0) Rechelle Hawkes (AUS) (3–0–0) Balbir Singh, Sr. (IND) (3–0–0)"
 Football (soccer),1900–1928;since 1936,26,2,28,28,29,85, Christie Rampone (USA) (3–1–0), Christie Rampone (USA) (3–1–0) Shannon Boxx (USA) (3–0–0) Heather Mitts (USA) (3–0–0) Heather O'Reilly (USA) (3–0–0)
 Golf,"1900–1904, since 2016",3,2,6,6,7,19, Margaret Abbott (USA) (1–0–0) Inbee Park (KOR) (1–0–0) George Lyon (CAN) (1–0–0) Justin Rose (GBR) (1–0–0) Charles Sands (USA) (1–0–0), Margaret Abbott (USA) (1–0–0) Inbee Park (KOR) (1–0–0) George Lyon (CAN) (1–0–0) Justin Rose (GBR) (1–0–0) Charles Sands (USA) (1–0–0)
